filename,number of anti-patterns,anti-patterns,author,cmt,change loc,issue,issue cmt,issue loc
com.ctrip.framework.apollo.portal.service.PortalDBPropertySource,3,"coupling-inherit,coupling-call,coupling-import",2,3,74,1,1,1
com.ctrip.framework.apollo.util.ConfigUtil,3,"coupling-inherit,coupling-call,functionality",10,38,586,4,4,95
com.ctrip.framework.apollo.adminservice.controller.AppNamespaceController,2,"coupling-call,functionality",4,16,184,1,1,14
com.ctrip.framework.apollo.biz.message.DatabaseMessageSender,2,"coupling-call,functionality",4,7,116,1,1,14
com.ctrip.framework.apollo.portal.service.NamespaceLockService,2,"coupling-call,functionality",4,9,76,2,2,15
com.ctrip.framework.apollo.portal.controller.ReleaseController,1,coupling-call,8,22,364,5,5,80
com.ctrip.framework.apollo.biz.grayReleaseRule.GrayReleaseRulesHolderTest,1,coupling-call,5,6,196,1,1,4
com.ctrip.framework.apollo.portal.spi.ctrip.CtripEmailRequestBuilder,1,coupling-call,2,6,158,0,0,0
com.ctrip.framework.apollo.common.entity.AppNamespace,1,coupling-call,4,8,73,3,4,15
com.ctrip.framework.apollo.portal.entity.model.AppModel,1,coupling-call,4,6,101,2,3,16
com.ctrip.framework.apollo.biz.entity.Namespace,1,coupling-call,3,4,34,0,0,0
com.ctrip.framework.apollo.portal.service.AppService,1,coupling-call,8,27,456,2,2,55
com.ctrip.framework.apollo.tracer.Tracer,1,coupling-call,2,4,104,0,0,0
com.ctrip.framework.apollo.biz.entity.Release,1,coupling-call,2,3,31,0,0,0
com.ctrip.framework.apollo.internals.ConfigServiceLocator,1,coupling-call,4,17,253,2,2,52
com.ctrip.framework.apollo.configservice.controller.NotificationControllerV2Test,1,coupling-call,4,13,588,4,3,172
com.ctrip.framework.apollo.common.dto.BaseDTO,1,coupling-call,2,2,36,1,1,20
com.ctrip.framework.apollo.biz.service.ReleaseServiceTest,1,coupling-call,5,9,305,1,1,33
com.ctrip.framework.apollo.biz.entity.ReleaseMessage,1,coupling-call,3,3,31,0,0,0
com.ctrip.framework.apollo.portal.util.RoleUtils,1,coupling-call,6,9,172,3,3,21
com.ctrip.framework.apollo.adminservice.controller.NamespaceBranchController,1,coupling-call,3,7,212,1,1,19
com.ctrip.framework.apollo.internals.AbstractConfig,1,coupling-call,7,14,848,3,2,286
com.ctrip.framework.apollo.core.utils.ApolloThreadFactory,1,coupling-call,2,3,22,2,2,6
com.ctrip.framework.apollo.portal.controller.NamespaceBranchController,1,coupling-call,6,15,258,3,3,33
com.ctrip.framework.apollo.portal.service.RolePermissionService,1,coupling-call,7,15,554,1,1,26
com.ctrip.framework.apollo.openapi.util.OpenApiBeanUtils,1,coupling-call,8,11,370,2,2,73
com.ctrip.framework.apollo.common.entity.BaseEntity,1,coupling-call,4,4,33,0,0,0
com.ctrip.framework.apollo.internals.RemoteConfigRepository,1,coupling-call,9,29,701,3,3,17
com.ctrip.framework.apollo.util.ExceptionUtil,1,coupling-call,2,2,20,0,0,0
com.ctrip.framework.apollo.biz.entity.Item,1,coupling-call,3,6,30,0,0,0
com.ctrip.framework.apollo.configservice.controller.NotificationControllerV2,1,coupling-call,12,22,590,10,10,153
com.ctrip.framework.apollo.portal.service.NamespaceService,1,functionality,11,39,776,6,6,96
com.ctrip.framework.apollo.openapi.service.ConsumerService,1,functionality,6,12,416,2,2,94
com.ctrip.framework.apollo.adminservice.controller.NamespaceController,1,functionality,4,17,198,2,2,19
com.ctrip.framework.apollo.portal.listener.ConfigPublishListener,1,functionality,6,12,434,3,3,53
com.ctrip.framework.apollo.portal.controller.NamespaceLockController,1,functionality,5,11,105,3,3,12
com.ctrip.framework.apollo.portal.controller.NamespaceController,1,functionality,9,50,1096,6,7,76
com.ctrip.framework.apollo.portal.entity.model.NamespaceReleaseModel,1,functionality,3,3,27,1,1,2
com.ctrip.framework.apollo.portal.service.NamespaceServiceTest,1,functionality,6,13,229,2,2,4
com.ctrip.framework.apollo.biz.service.ReleaseService,1,functionality,10,24,959,5,5,141
com.ctrip.framework.apollo.biz.service.NamespaceService,1,functionality,6,26,661,2,2,75
